KAUM科番号,科,Family,和名,学名,Remarks,和名ヘボン式表記
1,ヌタウナギ科,Myxinidae,クロヌタウナギ,Eptatretus atami (Dean 1904),"
古橋ほか（2010）長崎大学水産学部研究報告91:17-33，九州西方（東シナ海）；Kase et al (2017) Genes Genet Syst 92:197-203, 日本海側は別種；Kitano et al (2019) Asian Fish Sci 32:29-38，千葉県，駿河湾；Miyazaki et al (2019) ZooKeys 843:117-128，東京海底谷（千葉県安房郡鋸南町保田沖）
",Kuronutaunagi
1,ヌタウナギ科,Myxinidae,ヌタウナギ,Eptatretus burgeri (Girard 1855),"
竹内ほか（2015）日本生物地理学会会報70:1-11，対馬；Iwatsuki et al (2017) Bull Grad Sch Bioresour Mie Univ 43:27-55，宮崎県（日向灘）；岩坪・本村（2017）「鹿児島湾の魚類」；小枝ほか（2018）「内之浦の魚類」；村瀬ほか（2019）「門川の魚類」；Kitano et al (2019) Asian Fish Sci 32:29-38，秋田県，神奈川県；園山ほか（2020）鹿児島大学総合研究博物館研究報告11:1-152，山口県日本海側；小枝ほか（2020）「大隅市場魚類図鑑」；村瀬ほか（2021）「ひむかの海の魚たち」，宮崎県門川町；岩坪ほか（2022）「薩摩半島沿岸の魚類」
",Nutaunagi
1,ヌタウナギ科,Myxinidae,和名なし,Eptatretus moki (McMillan & Wisner 2004),"
McMillan & Wisner (2004) Zool Stud 43:51-73，相模湾
",
1,ヌタウナギ科,Myxinidae,ムラサキヌタウナギ,Eptatretus okinoseanus (Dean 1904),"
北島ほか（1976）西海区水産研究所研究報告48:47-92，甑島列島沖；古橋ほか（2010）長崎大学水産学部研究報告91:17-33，九州西方（東シナ海）；本村ほか（2019）「奄美群島の魚類」；中川ほか（2020）Nat Kagoshima 46:351-354，九州初記録（鹿児島県南さつま市）
",Murasakinutaunagi
1,ヌタウナギ科,Myxinidae,キタクロヌタウナギ,Eptatretus walkeri (McMillan & Wisner 2004),"
McMillan & Wisner (2004) Zool Stud 43:51-73，千葉県銚子沖，新潟県沖；Kitano et al (2019) Asian Fish Sci 32:29-38，秋田県，千葉県，神奈川県
",Kitakuronutaunagi
1,ヌタウナギ科,Myxinidae,ホソヌタウナギ,Myxine garmani Jordan & Snyder 1901,,Hosonutaunagi
1,ヌタウナギ科,Myxinidae,オキナホソヌタウナギ,Myxine paucidens Regan 1913,"
古橋ほか（2010）長崎大学水産学部研究報告91:17-33，九州西方（東シナ海）
",Okinahosonutaunagi
1,ヌタウナギ科,Myxinidae,和名なし,"Paramyxine fernholmi (Kuo, Huang & Mok 1994)","
Miya et al (1995）J Nat Hist Inst, Chiba 3:195-215，千葉県銚子沖
",
2,ヤツメウナギ科,Petromyzontidae,ミツバヤツメ,Entosphenus tridentatus (Richardson 1836),,Mitsubayatsume
2,ヤツメウナギ科,Petromyzontidae,カワヤツメ,Lethenteron camtschaticum (Tilesius 1811),"
武内ほか（2011）近畿大学農学部紀要44:63-87，富山県神通川水系；Lethenteron japonicum (Martens 1868)はLethenteron camtschaticum (Tilesius 1811)の新参異名；荒川（2021）のと海洋ふれあいセンター研究報告27:9-23，能登半島
",Kawayatsume
2,ヤツメウナギ科,Petromyzontidae,シベリアヤツメ,Lethenteron kessleri (Anikin 1905),,Shiberiayatsume
2,ヤツメウナギ科,Petromyzontidae,スナヤツメ北方種・南方種,Lethenteron mitsukurii (Hatta 1901),"
Naseka & Renaud (2020) ZooKeys 991:1-67，Lethenteron sp. N.あるいはL. sp. SのいずれかがL. mitsukuriiの可能性が高い
",Sunayatsume
2,ヤツメウナギ科,Petromyzontidae,スナヤツメ,Lethenteron reissneri (Dybowski 1869),"
Naseka & Renaud (2020) ZooKeys 991:1-67，日本に分布，Lethenteron sp. N.とL. sp. Sとは異なる；荒川（2021）のと海洋ふれあいセンター研究報告27:9-23，能登半島
",Sunayatsume
2,ヤツメウナギ科,Petromyzontidae,スナヤツメ北方種,Lethenteron sp. N.,"
Hirano et al (2020) Ichthyol Res doi:10.1007/s10228-020-00747-5，千葉県；荒川（2021）のと海洋ふれあいセンター研究報告27:9-23，能登半島
",Sunayatsume
2,ヤツメウナギ科,Petromyzontidae,スナヤツメ南方種,Lethenteron sp. S.,"
坂本・田島（1995）佐賀自然史研究1:17-26，佐賀県；荒川（2021）のと海洋ふれあいセンター研究報告27:9-23，能登半島
",Sunayatsume
3,ギンザメ科,Chimaeridae,ジョルダンギンザメ,Chimaera jordani Tanaka 1905,,Jorudanginzame
3,ギンザメ科,Chimaeridae,ギンザメダマシ,Chimaera ogilbyi Waite 1898,"
Finucci et al (2018) Zootaxa 4375:191-210，属名変更（しかしC. ogilbyiは南半球の種，日本産の学名は不明）；日本産のギンザメダマシはアカギンザメと同種の可能性が高い（W. White私信）
",Ginzamedamashi
